	C8 (1)	C8 (3)	Control (1)	Control (2)	Control (3)
yagJ	-0.000126	-0.000126	0.000252	-0.000126	-0.000126
yagK	-0.005577	-0.000424	0.000847	-0.000424	-0.000424
yagL	0.000100	0.017654	0.000100	-0.000199	0.000100
yagM	-0.000801	-0.000801	0.001645	-0.000398	-0.001252
yagN	-0.001426	0.025535	-0.001426	-0.001460	0.002872
intF	0.051485	-0.000260	0.000216	-0.000432	0.000216
yagP	0.000315	0.003741	0.000315	-0.000448	0.000132
yagQ	-0.013626	-0.014273	-0.013577	-0.013577	0.025944
yagR	-0.000102	-0.000102	0.000379	-0.000102	-0.000278
yagS	-0.000074	-0.000055	0.000442	-0.000055	-0.000387
yagT	0.021149	0.001752	0.000279	-0.000558	0.000279
yagU	0.142045	0.122311	-0.036425	-0.013184	0.045460
ykgJ	0.003385	0.000190	0.000190	0.000190	-0.000381
yagV	-0.000096	-0.000096	0.000600	-0.000096	-0.000504
yagW	-0.006663	-0.006872	0.013998	-0.007325	-0.007019
yagX	-0.001175	-0.001155	0.002060	-0.000316	-0.001752
matC	-0.000005	-0.000005	0.000543	-0.000288	-0.000255
matB	-0.000099	-0.000159	0.000199	-0.000099	-0.000099
matA	-0.002222	-0.000585	0.000545	0.000038	-0.000585
ykgL	0.014907	0.022320	-0.030837	0.014544	0.014725
ykgM	-0.007853	-0.008439	-0.007260	-0.007260	0.014165
eaeH	0.000321	0.000306	0.000306	0.000014	-0.000321
b0298	0.006901	0.024849	-0.002248	0.001120	0.001120
tra5_5	0.000197	0.000120	0.000472	0.000120	-0.000593
ykgA	0.004527	0.033021	0.002851	-0.007475	0.004527
ykgB	-0.001233	-0.000285	0.000570	-0.000285	-0.000285
ykgI	0.000104	0.015678	0.000843	0.000104	-0.000949
ykgC	-0.002620	-0.000416	0.002418	-0.000254	-0.002176
ykgD	-0.000034	-0.000034	0.000681	-0.000049	-0.000633
ykgE	-0.019501	-0.012333	-0.013943	-0.014360	0.026990
ykgF	0.000006	0.009286	0.000421	-0.000448	0.000026
ykgG	-0.000089	0.000000	0.000000	0.000000	0.000000
b0309	-0.000713	0.004915	0.001985	0.000723	-0.002721
ykgH	0.000192	0.006769	0.000748	0.000192	-0.000942
betA	-0.013897	-0.023485	-0.013359	0.026036	-0.013897
betB	-0.001742	-0.026280	-0.003459	0.008583	-0.005254
betI	0.061254	-0.003509	-0.002963	-0.003245	0.006143
betT	0.001377	0.001377	0.002276	0.001406	-0.003706
yahA	0.000189	-0.004088	-0.006670	0.011098	-0.004647
yahB	-0.000638	-0.000247	0.001064	-0.000247	-0.000819
yahC	-0.000254	-0.000196	0.001017	-0.000320	-0.000698
yahD	-0.000345	0.007725	0.000828	-0.000012	-0.000817
yahE	0.003205	0.010914	0.000468	-0.000285	-0.000183
yahF	-0.000193	-0.000260	0.000604	-0.000412	-0.000193
yahG	-0.001163	-0.001163	-0.000610	-0.001163	0.001767
yahI	-0.009809	-0.010263	-0.014259	-0.012187	0.025294
yahJ	0.008623	-0.000026	0.001025	0.000131	-0.001159
yahK	0.129673	-0.007763	-0.006434	0.003182	0.003182
yahL	-0.000871	-0.000127	0.000417	-0.000290	-0.000127
yahM	-0.003779	0.005421	0.006326	-0.003198	-0.003198
yahN	0.000040	0.000040	0.000392	-0.000134	-0.000258
prpR	-0.000122	-0.000122	0.000529	-0.000408	-0.000122
prpB	-0.003885	0.024176	-0.003885	0.012400	-0.008800
prpC	-0.007259	-0.006438	0.011039	-0.007501	-0.003761
prpD	0.000874	0.000359	0.001292	0.000158	-0.001455
prpE	-0.000065	0.000000	0.000000	0.000000	0.000000
codB	-0.038712	-0.035922	-0.002186	0.005127	-0.002987
codA	-0.006844	-0.069882	-0.006550	-0.007016	0.013256
cynR	0.000060	-0.000258	0.000046	0.000046	-0.000093
cynT	-0.004628	0.001903	0.010266	-0.005127	-0.005324
cynS	0.012954	0.000428	0.001022	0.001022	-0.002051
cynX	-0.000062	-0.000126	0.000488	-0.000363	-0.000126
mhpR	0.000077	0.008543	0.000077	0.000077	-0.000154
mhpA	-0.000777	0.030510	-0.000267	-0.000861	0.001126
mhpB	-0.000117	-0.000095	-0.000095	0.000189	-0.000095
mhpC	-0.019260	-0.006616	-0.006616	0.012938	-0.006616
mhpD	-0.000244	0.000094	0.000094	-0.000188	0.000094
mhpF	-0.000195	-0.000210	0.000752	-0.000341	-0.000413
mhpE	-0.005520	-0.005490	-0.003585	-0.005973	0.009400
mhpT	-0.000066	-0.000066	-0.000066	0.000289	-0.000223
yaiL	0.000193	0.000193	0.000193	-0.000387	0.000193
frmB	-0.003161	-0.002703	-0.002703	-0.002703	0.005356
frmA	-0.001832	0.000017	0.001066	-0.000137	-0.000931
frmR	-0.030620	0.013514	0.012953	0.002615	-0.016065
yaiO	0.000054	0.000054	0.000688	0.000054	-0.000743
b0359	0.000062	0.020401	0.000703	0.000062	-0.000766
yi21_1	-0.007993	-0.010989	-0.003443	0.006805	-0.003443
b0362	0.000209	0.003808	0.000209	-0.000218	0.000008
yaiP	-0.004032	-0.003516	0.007214	-0.003516	-0.003788
yaiS	-0.005062	-0.002308	-0.001190	-0.002200	0.003370
tauA	-0.000105	-0.000105	0.000418	-0.000168	-0.000250
tauB	0.000000	0.000000	0.000000	0.000000	0.000000
tauC	-0.001822	-0.000258	-0.000258	0.000515	-0.000258
hemB	0.025536	0.017821	0.000331	-0.000663	0.000331
b0370	-0.001781	0.051666	0.000000	0.000000	0.000000
yaiT	-0.005126	-0.004489	-0.003841	-0.004631	0.008350
yaiU	-0.000593	-0.000516	0.000032	0.001978	-0.002019
yaiV	0.002659	0.002360	-0.003592	0.002360	0.001209
sbmA	-0.000203	-0.000203	0.000407	-0.000203	-0.000203
yaiW	-0.006338	-0.048566	-0.020507	0.025556	-0.006338
yaiY	0.000298	0.000298	0.000298	-0.000596	0.000298
yaiZ	0.000000	-0.000309	0.000000	0.000000	0.000000
ddlA	0.023283	0.000380	0.000380	-0.000264	-0.000116
iraP	0.015107	0.058240	-0.012260	0.005939	0.006066
phoA	0.020782	0.002765	0.002765	-0.005583	0.002765
psiF	0.000000	0.026570	0.000000	0.000000	0.000000
adrA	0.002741	0.002403	0.003105	0.002741	-0.005906
proC	-0.010540	-0.010248	0.019799	-0.010248	-0.010248
yaiI	0.034137	0.004342	-0.008817	0.004342	0.004342
aroL	0.030649	-0.034727	0.001420	-0.005101	0.003634
yaiA	0.104553	-0.008797	0.009656	-0.004910	-0.004910
aroM	-0.020325	-0.042526	0.037252	-0.018616	-0.021181
yaiE	0.002301	-0.022677	-0.006132	0.003765	0.002301
ykiA	-0.008049	-0.009146	-0.008049	-0.008049	0.015664
rdgC	-0.003439	0.029156	0.000000	0.000000	0.000000
araJ	-0.000062	-0.000062	0.000535	-0.000062	-0.000474
sbcC	0.009015	0.001727	0.003731	-0.005513	0.001727
sbcD	0.000784	-0.002764	0.006077	-0.002738	-0.003404
phoB	-0.010046	-0.010046	-0.010046	0.020018	-0.010686
phoR	-0.000346	0.000438	-0.002211	0.004880	-0.002711
brnQ	0.062896	0.002875	0.000852	0.000852	-0.001709
proY	0.048847	0.029818	0.004937	-0.009568	0.004475
malZ	0.000000	0.000000	0.000000	0.000000	0.000000
acpH	0.027256	-0.000677	-0.000399	0.001852	-0.001460
queA	0.047515	-0.001527	-0.001527	0.003038	-0.001527
tgt	-0.005195	-0.031367	0.003680	-0.005195	0.001466
yajC	0.000575	0.000575	-0.001151	0.000575	0.000575
secD	0.013636	-0.003517	-0.003232	0.006753	-0.003601
secF	0.019257	-0.002540	0.012820	-0.000016	-0.013194
yajD	-0.000694	-0.001341	-0.000694	-0.000694	0.001384
tsx	0.051780	-0.004558	-0.004558	-0.004558	0.008974
nrdR	0.007432	-0.000120	0.000239	-0.000120	-0.000120
ribD	-0.006960	-0.052337	0.013924	-0.006960	-0.007306
ribE	-0.003339	-0.040593	0.000938	-0.000470	-0.000470
nusB	0.024459	0.003670	-0.007435	0.003670	0.003670
thiL	0.005589	0.005589	-0.011399	0.005589	0.005589
pgpA	-0.000058	-0.000151	0.000324	-0.000382	0.000058
yajO	0.035343	0.000341	0.000341	-0.000487	0.000146
dxs	0.006882	-0.059822	-0.012666	0.009449	0.002921
ispA	0.015138	-0.001971	-0.001598	0.003342	-0.001763
xseB	0.032350	0.012132	-0.012635	0.012132	0.000150
thiI	-0.001953	-0.001265	0.003797	-0.001265	-0.002559
yajL	-0.027129	-0.028532	0.049683	-0.027129	-0.027170
panE	0.046022	0.005749	0.005749	-0.011732	0.005749
yajQ	0.017952	0.042878	-0.014399	-0.002214	0.016071
yajR	0.044203	0.000139	0.000212	0.000212	-0.000424
cyoE	0.037976	-0.003921	-0.000033	-0.000033	0.000066
cyoD	0.034048	0.032808	0.005266	-0.010728	0.005266
cyoC	0.029087	0.004412	0.001065	0.001065	-0.002137
cyoB	0.047313	-0.018223	-0.004578	0.002271	0.002271
cyoA	0.118201	0.015323	-0.018879	0.002869	0.015323
ampG	-0.010538	-0.063359	0.007925	0.000078	-0.008152
bolA	0.059051	-0.008821	-0.008513	0.017136	-0.009144
tig	-0.018321	-0.004053	-0.001359	0.004083	-0.002754
clpP	-0.000331	-0.000439	-0.000331	-0.000331	0.000662
clpX	0.001828	-0.004095	-0.011250	-0.004095	0.014921
lon	0.005069	-0.012025	-0.001260	0.003910	-0.002678
hupB	0.000516	0.000516	0.000516	0.001364	-0.001887
ppiD	0.001569	0.001497	0.001497	-0.003009	0.001497
ybaV	-0.001622	-0.000655	0.001544	-0.000893	-0.000655
ybaW	-0.004754	-0.003964	-0.002852	-0.003964	0.006737
queC	0.000623	0.019771	0.000623	-0.001249	0.000623
ybaE	0.000019	0.002613	0.000968	0.000215	-0.001186
cof	-0.001689	-0.001600	-0.000469	0.002705	-0.002250
mdlA	-0.000030	-0.001530	-0.001530	0.003293	-0.001782
mdlB	0.022783	-0.000234	0.000335	-0.000375	0.000040
glnK	-0.009443	-0.009611	-0.008906	0.017786	-0.009443
amtB	0.005823	0.000239	0.000239	0.000239	-0.000479
tesB	0.000601	0.005810	0.000601	0.000601	-0.001205
ybaY	0.083311	0.008850	0.008850	-0.003491	-0.005499
ybaZ	-0.006996	-0.006925	-0.006925	0.013528	-0.006925
ffs	-0.053941	-0.144664	-0.016173	-0.010651	0.025626
ybaA	-0.001129	-0.000551	0.000276	-0.000138	-0.000138
ylaB	-0.000055	-0.000122	0.000488	-0.000122	-0.000366
ylaC	0.108104	0.055752	-0.054436	0.011196	0.038100
maa	0.001106	-0.000660	-0.000660	-0.001376	0.002028
hha	0.065816	0.006132	0.007485	-0.013947	0.006132
tomB	0.031515	0.003317	-0.001255	0.003317	-0.002082
acrA	0.058625	0.010842	0.000061	-0.000122	0.000061
acrR	0.000000	0.012743	0.000000	0.000000	0.000000
kefA	-0.002018	-0.002018	0.005087	-0.002018	-0.003114
ybaM	-0.008856	-0.008856	-0.008856	0.017277	-0.008951
priC	0.000110	-0.000017	0.000622	-0.000017	-0.000606
ybaN	0.013262	0.001246	0.001246	0.001246	-0.002502
apt	0.005747	0.033694	-0.003312	0.001459	0.001834
dnaX	-0.005337	-0.043959	0.010481	-0.005337	-0.005337
ybaB	-0.013663	0.012254	0.000138	0.000138	-0.000276
recR	-0.000459	-0.000152	0.000303	-0.000152	-0.000152
htpG	-0.008581	-0.000520	-0.000520	-0.000520	0.001038
adk	0.021438	0.003564	-0.003813	0.000217	0.003564
hemH	0.000022	0.000059	0.000022	-0.000044	0.000022
